log[Nh]	log[n(Nh)]	1sig_log[Nh]	1sig_log[n(Nh)]
12.380000	-10.412162	0.039999999	0.43429446
12.500000	-10.361559	0.039999999	0.21714723
12.620000	-10.309532	0.039999999	0.12537001
12.740000	-10.682683	0.039999999	0.12045161
12.860000	-10.764698	0.039999999	0.090556655
12.980000	-10.971410	0.039999999	0.086858892
13.100000	-11.262037	0.039999999	0.099633983
13.220000	-11.533449	0.039999999	0.11607008
13.340000	-11.814560	0.039999999	0.13733597
13.460000	-12.343566	0.039999999	0.21714723
13.580000	-12.030433	0.039999999	0.13094471
13.700000	-12.348941	0.039999999	0.16414788
13.820000	-12.469586	0.039999999	0.16414788
13.940000	-12.531955	0.039999999	0.15354628
14.060000	-13.078161	0.039999999	0.25074002
14.180000	-12.976397	0.039999999	0.19422239
14.300000	-12.892366	0.039999999	0.15354628
14.420000	-13.915520	0.039999999	0.43429446
15.038114	-14.712500	0.22222201	0.21714723
15.691515	-15.968014	0.22222201	0.43429446
16.344916	-16.622021	0.22222201	0.43429446
17.018116	-17.295479	0.22222201	0.43429446
